D    K    alpha  dv-err
--- --- ------- ------
  1   1 1.0e-02   69.76
  1   2 1.0e-02   73.66
  1   5 1.0e-02   74.25
  1  10 1.0e-02   76.53
  1  20 1.0e-02   79.35
  1  50 1.0e-02   75.49
  1 100 1.0e-02   75.56
  2   1 1.0e-02   55.49
  2   2 1.0e-02   60.50
  2   5 1.0e-02   60.50
  2  10 1.0e-02   63.42
  2  20 1.0e-02   67.26
  2  50 1.0e-02   70.36
  2 100 1.0e-02   71.36
  5   1 1.0e-02   28.37
  5   2 1.0e-02   28.83
  5   5 1.0e-02   30.02
  5  10 1.0e-02   31.07
  5  20 1.0e-02   32.94
  5  50 1.0e-02   34.45
  5 100 1.0e-02   33.13
 10   1 1.0e-02   12.09
 10   2 1.0e-02   11.59
 10   5 1.0e-02   10.46
 10  10 1.0e-02   10.09
 10  20 1.0e-02   10.23
 10  50 1.0e-02    8.30
 10 100 1.0e-02    5.69
 20   1 1.0e-02    6.65
 20   2 1.0e-02    6.26
 20   5 1.0e-02    5.29
 20  10 1.0e-02    4.73
 20  20 1.0e-02    4.09
 20  50 1.0e-02    2.54
 20 100 1.0e-02    1.23
 50   1 1.0e-02    5.92
 50   2 1.0e-02    6.01
 50   5 1.0e-02    4.64
 50  10 1.0e-02    3.68
 50  20 1.0e-02    2.70
 50  50 1.0e-02    1.30
 50 100 1.0e-02    0.89
100   1 1.0e-02    6.56
100   2 1.0e-02    6.41
100   5 1.0e-02    5.08
100  10 1.0e-02    3.85
100  20 1.0e-02    3.03
100  50 1.0e-02    1.54
100 100 1.0e-02    0.96
