D  K   alpha dv-err
--- --- ------- ------
  1   1 1.0e-03   69.78
  1   2 1.0e-03   74.01
  1   5 1.0e-03   74.49
  1  10 1.0e-03   75.79
  1  20 1.0e-03   77.40
  1  50 1.0e-03   76.04
  1 100 1.0e-03   74.72
  2   1 1.0e-03   55.47
  2   2 1.0e-03   60.61
  2   5 1.0e-03   60.54
  2  10 1.0e-03   63.19
  2  20 1.0e-03   66.63
  2  50 1.0e-03   68.20
  2 100 1.0e-03   65.14
  5   1 1.0e-03   28.31
  5   2 1.0e-03   28.66
  5   5 1.0e-03   29.81
  5  10 1.0e-03   30.59
  5  20 1.0e-03   32.43
  5  50 1.0e-03   32.76
  5 100 1.0e-03   31.42
 10   1 1.0e-03   11.96
 10   2 1.0e-03   11.42
 10   5 1.0e-03   10.23
 10  10 1.0e-03    9.62
 10  20 1.0e-03    9.44
 10  50 1.0e-03    7.24
 10 100 1.0e-03    5.14
 20   1 1.0e-03    6.34
 20   2 1.0e-03    5.75
 20   5 1.0e-03    4.61
 20  10 1.0e-03    3.95
 20  20 1.0e-03    3.10
 20  50 1.0e-03    1.88
 20 100 1.0e-03    0.87
 50   1 1.0e-03    5.13
 50   2 1.0e-03    4.66
 50   5 1.0e-03    3.46
 50  10 1.0e-03    2.26
 50  20 1.0e-03    1.67
 50  50 1.0e-03    0.54
 50 100 1.0e-03    0.40
100   1 1.0e-03    5.13
100   2 1.0e-03    4.65
100   5 1.0e-03    3.22
100  10 1.0e-03    1.92
100  20 1.0e-03    1.25
100  50 1.0e-03    0.50
100 100 1.0e-03    0.38
