 D  K   alpha dv-err
--- --- ------- ------
  1   1 1.0e-05   69.96
  1   2 1.0e-05   72.20
  1   5 1.0e-05   74.90
  1  10 1.0e-05   77.18
  1  20 1.0e-05   78.21
  1  50 1.0e-05   75.39
  1 100 1.0e-05   74.40
  2   1 1.0e-05   55.61
  2   2 1.0e-05   57.12
  2   5 1.0e-05   58.65
  2  10 1.0e-05   61.39
  2  20 1.0e-05   62.62
  2  50 1.0e-05   62.60
  2 100 1.0e-05   61.29
  5   1 1.0e-05   29.99
  5   2 1.0e-05   29.22
  5   5 1.0e-05   28.48
  5  10 1.0e-05   28.68
  5  20 1.0e-05   27.82
  5  50 1.0e-05   27.22
  5 100 1.0e-05   25.94
 10   1 1.0e-05   14.82
 10   2 1.0e-05   13.16
 10   5 1.0e-05   11.27
 10  10 1.0e-05   10.18
 10  20 1.0e-05    9.14
 10  50 1.0e-05    7.65
 10 100 1.0e-05    6.37
 20   1 1.0e-05    8.16
 20   2 1.0e-05    7.02
 20   5 1.0e-05    5.65
 20  10 1.0e-05    4.85
 20  20 1.0e-05    4.03
 20  50 1.0e-05    2.88
 20 100 1.0e-05    2.12
 50   1 1.0e-05    6.05
 50   2 1.0e-05    5.13
 50   5 1.0e-05    4.01
 50  10 1.0e-05    3.38
 50  20 1.0e-05    2.41
 50  50 1.0e-05    1.44
 50 100 1.0e-05    1.02
100   1 1.0e-05    5.77
100   2 1.0e-05    4.86
100   5 1.0e-05    3.71
100  10 1.0e-05    3.08
100  20 1.0e-05    2.07
100  50 1.0e-05    1.20
